,name,artist,album,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature,spotify_id,release_date_year
0,Hit Different,SZA,Hit Different,2020-09-04,0.3749604584852273,0.826530612244898,0.199,0.679,0.516,0.0,0.0965,0.6718854097268488,0.025264124942581533,0.716,0.43560397293525804,4,7Bar1kLTmsRmH6FCKKMEyU,2020
1,Codeine (feat. Gunna),NAV,Good Intentions,2020-05-08,0.34465802316423744,0.5918367346938775,0.0922,0.969,0.604,0.0,0.105,0.6746335776149234,0.10886541111621496,0.899,0.47614245341651323,4,6NzuJWrNriXAbSmscAuSIq,2020
2,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),Mariah Carey,Mariah Carey's Magical Christmas Special (Apple TV+ Original Soundtrack),2020-12-11,0.3715986116292413,0.42857142857142855,0.0339,0.648,0.938,1.28e-06,0.0564,0.7998417721518988,0.10542030316949931,0.849,0.19182194495584973,4,2VkuxjlbnbaBiWYpdBGVol,2020
3,Like That (feat. Gucci Mane),Doja Cat,Hot Pink,2019-11-07,0.2902401724337284,0.826530612244898,0.24,0.879,0.499,0.0,0.0967,0.6862091938707527,0.180064308681672,0.405,0.35333677310411954,4,4EivmOT13NMpNSfTKn9p4s,2019
4,Yo No Voy,Morad,Yo No Voy,2020-10-30,0.46875402232650276,0.6530612244897959,0.334,0.795,0.72,0.000229,0.104,0.6601432378414391,0.08027101515847497,0.687,0.5755303305697902,4,2tuL5CiDgPwwJXTFxUlfpX,2020
5,Disparos,Dani Fernández,Incendios,2019-05-24,0.4376073074900901,0.5816326530612245,0.0622,0.587,0.847,1.25e-05,0.111,0.707736508994004,0.018029398254478638,0.754,0.6233978681238787,4,2F75mXaavRl0hm3rtM15cq,2019
6,NI BIEN NI MAL,Bad Bunny,X 100PRE,2018-12-23,0.44958865916632307,0.7755102040816326,0.556,0.826,0.449,1.85e-05,0.273,0.5903147901399067,0.05075792374827745,0.337,0.48224022890111046,4,278kSqsZIiYp8p3QjYAqa8,2018
7,Como Hermanos,Funzo & Baby Loud,Como Hermanos,2020-09-17,0.4228880467909743,0.4387755102040816,0.564,0.625,0.581,0.0,0.118,0.6871252498334445,0.003789618741387231,0.564,0.27693868217690587,4,2DuzOtocZSHPAqgZJmmNHq,2020
8,Girlfriend,Charlie Puth,Girlfriend,2020-06-23,0.32136070806036054,0.7244897959183674,0.18,0.758,0.583,5.12e-05,0.107,0.6723017988007994,0.02170418006430868,0.797,0.30346400553490394,4,1UNs8AlFM8c0uAkSyjIW3P,2020
9,Vida real,FERNANDOCOSTA,Vida real,2020-08-28,0.32259767572249165,0.45918367346938777,0.098,0.764,0.868,0.0,0.18,0.612508327781479,0.354616444648599,0.419,0.5292986385543581,4,2ukLSDzOij0FvcQkb61bda,2020
10,Calma - Remix,Pedro Capó,Calma (Remix),2018-10-05,0.4539191367841895,0.8061224489795918,0.323,0.826,0.773,0.0,0.143,0.7615339773484344,0.03353238401469913,0.761,0.47562062455292753,4,5iwz1NiezX7WWjnCgY5TH4,2018
11,Mi Estilo de Vida II,Ñejo,Mi Estilo de Vida II,2020-08-06,1.0,0.6428571428571429,0.226,0.688,0.821,0.0,0.376,0.744045636242505,0.12149747358750575,0.694,0.6231750647888645,4,4jpzkaXeIglP7BfyhmtNW9,2020
12,New Tank,Playboi Carti,Whole Lotta Red,2020-12-25,0.13004086138326582,0.6836734693877551,0.031,0.819,0.638,0.000116,0.152,0.7360093271152566,0.23288929719797888,0.167,0.6168896654432027,4,4txKMpsSfZRV6durPuHVq0,2020
13,SO DONE,The Kid LAROI,SO DONE,2020-10-23,0.21028013936066006,0.826530612244898,0.232,0.719,0.598,0.0,0.115,0.6767571618920719,0.06178226917776757,0.303,0.5676325386681051,4,5psEZhQu6lukjhavJo4AbC,2020
14,ON,BTS,MAP OF THE SOUL : 7,2020-02-21,0.4717646314512663,0.8163265306122449,0.118,0.583,0.817,0.0,0.338,0.7228930712858095,0.08670188332567753,0.438,0.35270940581868504,4,2QyuXBcV1LJ2rq01KhreMF,2020
15,Shotta Flow 5,NLE Choppa,Shotta Flow 5,2020-06-12,0.250958268158009,0.6836734693877551,0.0838,0.806,0.749,0.0,0.0621,0.7178131245836109,0.35002296738631145,0.77,0.5526226297829427,4,1orjH4IkSH9VrWmRCToKV8,2020
16,Puesto Pa' Guerrial,Bad Bunny,YHLQMDLG,2020-02-28,0.34921756886768374,0.7040816326530612,0.311,0.867,0.686,0.0,0.1,0.7147318454363758,0.22714745062011943,0.658,0.5522473820608135,4,5gCg2qMPzKkW4jS4dBKdDs,2020
17,Solitaires (feat. Travis Scott),Future,High Off Life,2020-05-15,0.38294293586748085,0.7346938775510204,0.122,0.691,0.632,0.0,0.0646,0.620794470353098,0.03226917776757005,0.488,0.728226837248027,4,4kfeRwpq5KUaqTkgi4TbDF,2020
18,Make It To Christmas,Alessia Cara,Make It To Christmas,2019-11-08,0.3946079554255321,0.5408163265306123,0.13,0.522,0.522,0.0,0.438,0.6094686875416389,0.01734037666513551,0.305,0.18347268313847814,4,6RS6rcjnWrdfVuu2U2W2dj,2019
19,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,2020-05-10,0.32258676771841643,0.7653061224489796,0.412,0.712,0.599,2.15e-05,0.103,0.6730929380413059,0.10197519522278364,0.588,0.7857218241729893,4,0FktnzDqjClqU6iqOZVEs2,2020
20,Hit Contagiante,Various Artists,Hit Contagiante,2019-07-26,0.23341383440340854,0.6530612244897959,0.132,0.819,0.684,0.0,0.0942,0.638657561625583,0.11001378043178686,0.959,0.7294288026079717,4,5dKesZwp6deuhEeW8F1UEi,2019
21,Whoopty,CJ,Whoopty,2020-08-20,0.20364589128210497,0.4489795918367347,0.194,0.714,0.609,0.0,0.126,0.617255163224517,0.16858061552595316,0.778,0.553642834527481,4,1RSzyxqtIO4yX3EyiV4zT5,2020
22,TOP FLOOR (feat. Travis Scott),Gunna,WUNNA,2020-05-22,0.3049288907214336,0.6836734693877551,0.206,0.823,0.504,0.0,0.417,0.5769903397734844,0.15709692237023426,0.481,0.3940394244638062,4,4YhJ3a6kBPGJWX4Ek77sDd,2020
23,Confirmation,Justin Bieber,Changes,2020-02-14,0.3064123792756649,0.6530612244897959,0.608,0.438,0.315,0.0,0.151,0.5963107928047968,0.016421681212677997,0.449,0.8459725365573366,3,60brXKLTC15vK0av5gIldm,2020
24,People,Agust D,D-2,2020-05-22,0.3640371832042916,0.7244897959183674,0.0616,0.76,0.682,0.0,0.118,0.668970686209194,0.015962333486449244,0.372,0.4352169987218124,4,0SJ7vFES0Lj6pnumh3DhCe,2020
