,Unnamed: 0,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,genre9,genre10,10,11,12,13,genres_together,artist_id,Artist,artist_followers,artist_popularity,genre_depurated_final
0,1,reggaeton,reggaeton flow,trap latino,,,,,,,,,,,,"reggaeton,reggaeton flow,trap latino",5bWUlnPx9OYKsLiUJrhCA1,Jon Z,2987783,0.77,latin and reggaeton
1,2,contemporary country,country road,,,,,,,,,,,,,"contemporary country,country road",3oSJ7TBVCWMDMiYjXNiCKE,Kane Brown,3308713,0.8,"rock, country and indie"
2,3,cancion melodica,cantautor,pop romantico,spanish pop,,,,,,,,,,,"cancion melodica,cantautor,pop romantico,spanish pop",1TiGxAkU8w0xBCVFOP6Ttl,Duo Dinamico,133284,0.52,other
3,4,big room,dance pop,edm,pop,pop dance,,,,,,,,,,"big room,dance pop,edm,pop,pop dance",1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,22481839,0.91,"dance, electro and ambient"
4,5,pop,pop rap,r&b,southern hip hop,trap,trap soul,,,,,,,,,"pop,pop rap,r&b,southern hip hop,trap,trap soul",7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,3764602,0.89,"pop, new age and standards"
5,6,album rock,classic rock,hard rock,metal,rock,,,,,,,,,,"album rock,classic rock,hard rock,metal,rock",2cnMpRsOVqtPMfq7YiFE6K,Van Halen,3904575,0.77,"rock, country and indie"
6,7,canadian contemporary r&b,pop,r&b,,,,,,,,,,,,"canadian contemporary r&b,pop,r&b",20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2614140,0.9,"hip hop, r&b and soul"
7,8,dance pop,neo soul,pop,,,,,,,,,,,,"dance pop,neo soul,pop",3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,904573,0.8,"dance, electro and ambient"
8,9,flamenco urbano,trap latino,urbano espanol,,,,,,,,,,,,"flamenco urbano,trap latino,urbano espanol",0FwnPHExlRRxEZPLAi5tmG,JC Reyes,13563,0.6,latin and reggaeton
9,10,,,,,,,,,,,,,,,,0fFgT6tqYswF6TozhqaEJF,Lion Music,271,0.29,"dance, electro and ambient"
10,11,spanish indie pop,spanish pop,,,,,,,,,,,,,"spanish indie pop,spanish pop",5Q30fhTc0Sl0Q4C5dOjhhQ,La La Love You,40091,0.57,"pop, new age and standards"
11,12,turkish hip hop,turkish trap pop,,,,,,,,,,,,,"turkish hip hop,turkish trap pop",1Fg19vpUJpAAPFjnKaVYVW,Reynmen,2236679,0.65,"hip hop, r&b and soul"
12,13,dance pop,edm,pop,pop dance,post-teen pop,tropical house,uk pop,,,,,,,,"dance pop,edm,pop,pop dance,post-teen pop,tropical house,uk pop",1MIVXf74SZHmTIp4V4paH4,Mabel,1279277,0.79,"dance, electro and ambient"
13,14,brooklyn drill,,,,,,,,,,,,,,brooklyn drill,0eDvMgVFoNV3TpwtrVCoTj,Pop Smoke,5293467,0.92,other
14,15,album rock,classic rock,hard rock,metal,rock,soft rock,,,,,,,,,"album rock,classic rock,hard rock,metal,rock,soft rock",00tVTdpEhQQw1bqdu8RCx2,Blue Öyster Cult,1062018,0.68,"rock, country and indie"
15,16,champeta,colombian pop,electro latino,latin,latin pop,reggaeton,reggaeton colombiano,trap latino,,,,,,,"champeta,colombian pop,electro latino,latin,latin pop,reggaeton,reggaeton colombiano,trap latino",5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee,3020009,0.77,latin and reggaeton
16,17,argentine hip hop,trap argentino,trap triste,,,,,,,,,,,,"argentine hip hop,trap argentino,trap triste",1vqR17Iv8VFdzure1TAXEq,Lit Killah,2042764,0.75,"hip hop, r&b and soul"
